Device Type, Vector Size, Compute Time (s), Data Transfer Time (s), Total Time (s), Compute Throughput (Flops), Total Throughput (Flops), Number of GPU Blocks, Number of Threads per Block, Completion Status
NVS 5400M, 21000000, 0.0973904, 0.0686709, 0.166061, 2.15627e+008, 1.26459e+008, 4095, 8, Complete
NVS 5400M, 21000000, 0.189664, 0.0689909, 0.258655, 1.10722e+008, 8.11894e+007, 4095, 4, Complete
NVS 5400M, 21000000, 0.0389558, 0.0690315, 0.107987, 5.39072e+008, 1.94467e+008, 2047, 1024, Complete
NVS 5400M, 21000000, 0.0186186, 0.0672725, 0.0858911, 1.1279e+009, 2.44496e+008, 2047, 512, Complete
NVS 5400M, 21000000, 0.0115116, 0.069018, 0.0805296, 1.82425e+009, 2.60774e+008, 2047, 256, Complete
NVS 5400M, 21000000, 0.00863792, 0.0689503, 0.0775882, 2.43114e+009, 2.7066e+008, 2047, 128, Complete
NVS 5400M, 21000000, 0.0133697, 0.07134, 0.0847097, 1.57072e+009, 2.47905e+008, 2047, 64, Complete
NVS 5400M, 21000000, 0.0251495, 0.0700652, 0.0952147, 8.35007e+008, 2.20554e+008, 2047, 32, Complete
NVS 5400M, 21000000, 0.0487598, 0.0687357, 0.117496, 4.30683e+008, 1.7873e+008, 2047, 16, Complete
NVS 5400M, 21000000, 0.0953411, 0.0660026, 0.161344, 2.20262e+008, 1.30157e+008, 2047, 8, Complete
NVS 5400M, 21000000, 0.187938, 0.0687618, 0.2567, 1.11739e+008, 8.18075e+007, 2047, 4, Complete
NVS 5400M, 21000000, 0.0170707, 0.0686343, 0.0857049, 1.23018e+009, 2.45027e+008, 1023, 1024, Complete
NVS 5400M, 21000000, 0.00976554, 0.0658932, 0.0756588, 2.15042e+009, 2.77562e+008, 1023, 512, Complete
NVS 5400M, 21000000, 0.00737539, 0.0692992, 0.0766746, 2.84731e+009, 2.73885e+008, 1023, 256, Complete
NVS 5400M, 21000000, 0.00694986, 0.0686823, 0.0756322, 3.02165e+009, 2.7766e+008, 1023, 128, Complete
NVS 5400M, 21000000, 0.0123695, 0.0690211, 0.0813906, 1.69773e+009, 2.58015e+008, 1023, 64, Complete
NVS 5400M, 21000000, 0.024331, 0.0668718, 0.0912028, 8.63096e+008, 2.30256e+008, 1023, 32, Complete
NVS 5400M, 21000000, 0.0475991, 0.0687907, 0.11639, 4.41184e+008, 1.80428e+008, 1023, 16, Complete
NVS 5400M, 21000000, 0.0943791, 0.0696438, 0.164023, 2.22507e+008, 1.28031e+008, 1023, 8, Complete
NVS 5400M, 21000000, 0.186945, 0.0690309, 0.255976, 1.12332e+008, 8.20389e+007, 1023, 4, Complete
